"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1977","Lithuania","Total","Total","3 342 533",""
"1978","Lithuania","Total","Total","3 367 538",""
"1979","Lithuania","Total","Total","3 391 490",""
"1980","Lithuania","Total","Total","3 404 194",""
"1981","Lithuania","Total","Total","3 422 210",""
"1982","Lithuania","Total","Total","3 443 684",""
"1983","Lithuania","Total","Total","3 470 673",""
"1984","Lithuania","Total","Total","3 499 711",""
"1985","Lithuania","Total","Total","3 528 698",""
"1986","Lithuania","Total","Total","3 560 388",""
"1987","Lithuania","Total","Total","3 597 439",""
"1988","Lithuania","Total","Total","3 635 295",""
"1989","Lithuania","Total","Total","3 674 802",""
"1990","Lithuania","Total","Total","3 693 708",""
"1991","Lithuania","Total","Total","3 701 968",""
"1992","Lithuania","Total","Total","3 706 299",""
"1993","Lithuania","Total","Total","3 693 929",""
"1994","Lithuania","Total","Total","3 671 296",""
"1995","Lithuania","Total","Total","3 642 991",""
"1996","Lithuania","Total","Total","3 615 212",""
"1997","Lithuania","Total","Total","3 588 013",""
"1998","Lithuania","Total","Total","3 562 261",""
"1999","Lithuania","Total","Total","3 536 401",""
"2000","Lithuania","Total","Total","3 512 074",""
"2001","Lithuania","Total","Total","3 486 998",""
"2002","Lithuania","Total","Total","3 475 586",""
"2003","Lithuania","Total","Total","3 462 553",""
"2004","Lithuania","Total","Total","3 445 857",""
"2005","Lithuania","Total","Total","3 425 324",""
"2006","Lithuania","Total","Total","3 403 284",""
"2007","Lithuania","Total","Total","3 384 879",""
"2008","Lithuania","Total","Total","3 366 357",""
"2009","Lithuania","Total","Total","3 349 872",""
"2010","Lithuania","Total","Total","3 329 039",""
"2011","Lithuania","Total","Total","3 052 588","b"
"2012","Lithuania","Total","Total","3 007 758",""
"1975","Luxembourg","Total","Total","357 400",""
"1976","Luxembourg","Total","Total","360 500",""
"1977","Luxembourg","Total","Total","360 962",""
"1978","Luxembourg","Total","Total","361 753",""
"1979","Luxembourg","Total","Total","362 261",""
"1980","Luxembourg","Total","Total","363 450",""
"1981","Luxembourg","Total","Total","364 850",""
"1982","Luxembourg","Total","Total","365 600",""
"1983","Luxembourg","Total","Total","365 450",""
"1984","Luxembourg","Total","Total","365 794",""
"1985","Luxembourg","Total","Total","366 202",""
"1986","Luxembourg","Total","Total","367 210",""
"1987","Luxembourg","Total","Total","369 500",""
"1988","Luxembourg","Total","Total","372 000",""
"1989","Luxembourg","Total","Total","374 900",""
"1990","Luxembourg","Total","Total","379 300",""
"1991","Luxembourg","Total","Total","384 400",""
"1992","Luxembourg","Total","Total","389 600",""
"1993","Luxembourg","Total","Total","394 750",""
"1994","Luxembourg","Total","Total","400 200",""
"1995","Luxembourg","Total","Total","405 650",""
"1996","Luxembourg","Total","Total","411 600",""
"1997","Luxembourg","Total","Total","416 850",""
"1998","Luxembourg","Total","Total","422 050",""
"1999","Luxembourg","Total","Total","427 350",""
"2000","Luxembourg","Total","Total","433 600",""
"2001","Luxembourg","Total","Total","439 000",""
"2002","Luxembourg","Total","Total","444 050",""
"2003","Luxembourg","Total","Total","448 300",""
"2004","Luxembourg","Total","Total","454 960",""
"2005","Luxembourg","Total","Total","461 230",""
"2006","Luxembourg","Total","Total","469 086",""
"2007","Luxembourg","Total","Total","476 187",""
"2008","Luxembourg","Total","Total","483 799",""
"2009","Luxembourg","Total","Total","493 500",""
"2010","Luxembourg","Total","Total","502 066",""
"2011","Luxembourg","Total","Total","511 840",""
"2012","Luxembourg","Total","Total","524 853","bp"
"1975","Hungary","Total","Total","10 508 956",""
"1976","Hungary","Total","Total","10 572 094",""
"1977","Hungary","Total","Total","10 625 259",""
"1978","Hungary","Total","Total","10 670 802",""
"1979","Hungary","Total","Total","10 698 841",""
"1980","Hungary","Total","Total","10 709 463",""
"1981","Hungary","Total","Total","10 712 781",""
"1982","Hungary","Total","Total","10 710 914",""
"1983","Hungary","Total","Total","10 700 155",""
"1984","Hungary","Total","Total","10 678 770",""
"1985","Hungary","Total","Total","10 657 420",""
"1986","Hungary","Total","Total","10 640 006",""
"1987","Hungary","Total","Total","10 621 121",""
"1988","Hungary","Total","Total","10 604 360",""
"1989","Hungary","Total","Total","10 588 614",""
"1990","Hungary","Total","Total","10 374 823",""
"1991","Hungary","Total","Total","10 373 153",""
"1992","Hungary","Total","Total","10 373 647",""
"1993","Hungary","Total","Total","10 365 035",""
"1994","Hungary","Total","Total","10 350 010",""
"1995","Hungary","Total","Total","10 336 700",""
"1996","Hungary","Total","Total","10 321 229",""
"1997","Hungary","Total","Total","10 301 247",""
"1998","Hungary","Total","Total","10 279 724",""
"1999","Hungary","Total","Total","10 253 416",""
"2000","Hungary","Total","Total","10 221 644",""
"2001","Hungary","Total","Total","10 200 298",""
"2002","Hungary","Total","Total","10 174 853",""
"2003","Hungary","Total","Total","10 142 362",""
"2004","Hungary","Total","Total","10 116 742",""
"2005","Hungary","Total","Total","10 097 549",""
"2006","Hungary","Total","Total","10 076 581",""
"2007","Hungary","Total","Total","10 066 158",""
"2008","Hungary","Total","Total","10 045 401",""
"2009","Hungary","Total","Total","10 030 975",""
"2010","Hungary","Total","Total","10 014 324",""
"2011","Hungary","Total","Total","9 985 722",""
"2012","Hungary","Total","Total","9 957 731","p"
"1975","Malta","Total","Total","301 892",""
"1976","Malta","Total","Total","306 551",""
"1977","Malta","Total","Total","304 997",""
"1978","Malta","Total","Total","308 942",""
"1979","Malta","Total","Total","311 421",""
"1980","Malta","Total","Total","315 262",""
"1981","Malta","Total","Total","318 028",""
"1982","Malta","Total","Total","319 936",""
"1983","Malta","Total","Total","331 859",""
"1984","Malta","Total","Total","329 189",""
"1985","Malta","Total","Total","331 997",""
"1986","Malta","Total","Total","340 907",""
"1987","Malta","Total","Total","343 334",""
"1988","Malta","Total","Total","345 636",""
"1989","Malta","Total","Total","349 014",""
"1990","Malta","Total","Total","352 430",""
"1991","Malta","Total","Total","355 910",""
"1992","Malta","Total","Total","359 543",""
"1993","Malta","Total","Total","362 977",""
"1994","Malta","Total","Total","366 431",""
"1995","Malta","Total","Total","369 451",""
"1996","Malta","Total","Total","371 415",""
"1997","Malta","Total","Total","373 958",""
"1998","Malta","Total","Total","376 513",""
"1999","Malta","Total","Total","378 518",""
"2000","Malta","Total","Total","380 201",""
"2001","Malta","Total","Total","391 415","b"
"2002","Malta","Total","Total","394 641",""
"2003","Malta","Total","Total","397 296",""
"2004","Malta","Total","Total","399 867",""
"2005","Malta","Total","Total","402 668",""
"2006","Malta","Total","Total","405 006",""
"2007","Malta","Total","Total","407 810",""
"2008","Malta","Total","Total","410 290",""
"2009","Malta","Total","Total","413 609",""
"2010","Malta","Total","Total","414 372",""
"2011","Malta","Total","Total","415 832","bp"
"2012","Malta","Total","Total","417 520","p"
"1975","Netherlands","Total","Total","13 599 092",""
"1976","Netherlands","Total","Total","13 733 578",""
"1977","Netherlands","Total","Total","13 814 495",""
"1978","Netherlands","Total","Total","13 897 874",""
"1979","Netherlands","Total","Total","13 985 526",""
"1980","Netherlands","Total","Total","14 091 014",""
"1981","Netherlands","Total","Total","14 208 586",""
"1982","Netherlands","Total","Total","14 285 829",""
"1983","Netherlands","Total","Total","14 339 551",""
"1984","Netherlands","Total","Total","14 394 589",""
"1985","Netherlands","Total","Total","14 453 833",""
"1986","Netherlands","Total","Total","14 529 430",""
"1987","Netherlands","Total","Total","14 615 125",""
"1988","Netherlands","Total","Total","14 714 948",""
"1989","Netherlands","Total","Total","14 805 240",""
"1990","Netherlands","Total","Total","14 892 574",""
"1991","Netherlands","Total","Total","15 010 445",""
"1992","Netherlands","Total","Total","15 129 150",""
"1993","Netherlands","Total","Total","15 239 182",""
"1994","Netherlands","Total","Total","15 341 553",""
"1995","Netherlands","Total","Total","15 424 122",""
"1996","Netherlands","Total","Total","15 493 889",""
"1997","Netherlands","Total","Total","15 567 107",""
"1998","Netherlands","Total","Total","15 654 192",""
"1999","Netherlands","Total","Total","15 760 225",""
"2000","Netherlands","Total","Total","15 863 950",""
"2001","Netherlands","Total","Total","15 987 075",""
"2002","Netherlands","Total","Total","16 105 285",""
"2003","Netherlands","Total","Total","16 192 572",""
"2004","Netherlands","Total","Total","16 258 032",""
"2005","Netherlands","Total","Total","16 305 526",""
"2006","Netherlands","Total","Total","16 334 210",""
"2007","Netherlands","Total","Total","16 357 992",""
"2008","Netherlands","Total","Total","16 405 399",""
"2009","Netherlands","Total","Total","16 485 787",""
"2010","Netherlands","Total","Total","16 574 989",""
"2011","Netherlands","Total","Total","16 655 799",""
"2012","Netherlands","Total","Total","16 730 348",""
"1975","Austria","Total","Total","7 592 316",""
"1976","Austria","Total","Total","7 565 489",""
"1977","Austria","Total","Total","7 565 561",""
"1978","Austria","Total","Total","7 571 299",""
"1979","Austria","Total","Total","7 553 310",""
"1980","Austria","Total","Total","7 545 539",""
"1981","Austria","Total","Total","7 553 326",""
"1982","Austria","Total","Total","7 584 094",""
"1983","Austria","Total","Total","7 564 185",""
"1984","Austria","Total","Total","7 559 635",""
"1985","Austria","Total","Total","7 563 233",""
"1986","Austria","Total","Total","7 566 736",""
"1987","Austria","Total","Total","7 572 852",""
"1988","Austria","Total","Total","7 576 319",""
"1989","Austria","Total","Total","7 594 315",""
"1990","Austria","Total","Total","7 644 818",""
"1991","Austria","Total","Total","7 710 882",""
"1992","Austria","Total","Total","7 798 899",""
"1993","Austria","Total","Total","7 882 519",""
"1994","Austria","Total","Total","7 928 746",""
"1995","Austria","Total","Total","7 943 489",""
"1996","Austria","Total","Total","7 953 067",""
"1997","Austria","Total","Total","7 964 966",""
"1998","Austria","Total","Total","7 971 116",""
"1999","Austria","Total","Total","7 982 461",""
"2000","Austria","Total","Total","8 002 186",""
"2001","Austria","Total","Total","8 020 946",""
"2002","Austria","Total","Total","8 063 640",""
"2003","Austria","Total","Total","8 100 273",""
"2004","Austria","Total","Total","8 142 573",""
"2005","Austria","Total","Total","8 201 359",""
"2006","Austria","Total","Total","8 254 298",""
"2007","Austria","Total","Total","8 282 984",""
"2008","Austria","Total","Total","8 318 592",""
"2009","Austria","Total","Total","8 355 260",""
"2010","Austria","Total","Total","8 375 290",""
"2011","Austria","Total","Total","8 404 252",""
"2012","Austria","Total","Total","8 443 018","p"
"1975","Poland","Total","Total","33 845 698",""
"1976","Poland","Total","Total","34 184 700",""
"1977","Poland","Total","Total","34 527 900",""
"1978","Poland","Total","Total","34 850 200",""
"1979","Poland","Total","Total","35 081 000",""
"1980","Poland","Total","Total","35 413 434",""
"1981","Poland","Total","Total","35 734 865",""
"1982","Poland","Total","Total","36 062 309",""
"1983","Poland","Total","Total","36 398 652",""
"1984","Poland","Total","Total","36 744 964",""
"1985","Poland","Total","Total","37 063 303",""
"1986","Poland","Total","Total","37 340 467",""
"1987","Poland","Total","Total","37 571 771",""
"1988","Poland","Total","Total","37 764 318",""
"1989","Poland","Total","Total","37 884 655",""
"1990","Poland","Total","Total","38 038 403",""
"1991","Poland","Total","Total","38 183 160",""
"1992","Poland","Total","Total","38 309 226",""
"1993","Poland","Total","Total","38 418 108",""
"1994","Poland","Total","Total","38 504 707",""
"1995","Poland","Total","Total","38 580 597",""
"1996","Poland","Total","Total","38 609 399",""
"1997","Poland","Total","Total","38 639 341",""
"1998","Poland","Total","Total","38 659 979",""
"1999","Poland","Total","Total","38 666 983",""
"2000","Poland","Total","Total","38 263 303","b"
"2001","Poland","Total","Total","38 253 955",""
"2002","Poland","Total","Total","38 242 197",""
"2003","Poland","Total","Total","38 218 531",""
"2004","Poland","Total","Total","38 190 608",""
"2005","Poland","Total","Total","38 173 835",""
"2006","Poland","Total","Total","38 157 055",""
"2007","Poland","Total","Total","38 125 479",""
"2008","Poland","Total","Total","38 115 641",""
"2009","Poland","Total","Total","38 135 876",""
"2010","Poland","Total","Total","38 167 329",""
"2011","Poland","Total","Total","38 529 866","b"
"2012","Poland","Total","Total","38 538 447","p"
"1975","Portugal","Total","Total","8 879 130",""
"1976","Portugal","Total","Total","9 307 810",""
"1977","Portugal","Total","Total","9 403 810",""
"1978","Portugal","Total","Total","9 507 540",""
"1979","Portugal","Total","Total","9 608 960",""
"1980","Portugal","Total","Total","9 713 570",""
"1981","Portugal","Total","Total","9 819 054",""
"1982","Portugal","Total","Total","9 883 670",""
"1983","Portugal","Total","Total","9 939 871",""
"1984","Portugal","Total","Total","9 975 859",""
"1985","Portugal","Total","Total","10 016 605",""
"1986","Portugal","Total","Total","10 030 621",""
"1987","Portugal","Total","Total","10 034 846",""
"1988","Portugal","Total","Total","10 025 215",""
"1989","Portugal","Total","Total","10 014 005",""
"1990","Portugal","Total","Total","9 995 995",""
"1991","Portugal","Total","Total","9 970 441",""
"1992","Portugal","Total","Total","9 965 315",""
"1993","Portugal","Total","Total","9 974 591",""
"1994","Portugal","Total","Total","9 990 590",""
"1995","Portugal","Total","Total","10 017 571",""
"1996","Portugal","Total","Total","10 043 180",""
"1997","Portugal","Total","Total","10 072 542",""
"1998","Portugal","Total","Total","10 109 697",""
"1999","Portugal","Total","Total","10 148 883",""
"2000","Portugal","Total","Total","10 195 014",""
"2001","Portugal","Total","Total","10 256 658",""
"2002","Portugal","Total","Total","10 329 340",""
"2003","Portugal","Total","Total","10 407 465",""
"2004","Portugal","Total","Total","10 474 685",""
"2005","Portugal","Total","Total","10 529 255",""
"2006","Portugal","Total","Total","10 569 592",""
"2007","Portugal","Total","Total","10 599 095",""
"2008","Portugal","Total","Total","10 617 575",""
"2009","Portugal","Total","Total","10 627 250",""
"2010","Portugal","Total","Total","10 637 713",""
"2011","Portugal","Total","Total","10 572 157","bp"
"2012","Portugal","Total","Total","10 541 840","p"
"1975","Romania","Total","Total","21 141 468",""
"1976","Romania","Total","Total","21 445 698",""
"1977","Romania","Total","Total","21 657 569",""
"1978","Romania","Total","Total","21 854 622",""
"1979","Romania","Total","Total","22 048 305",""
"1980","Romania","Total","Total","22 132 670",""
"1981","Romania","Total","Total","22 281 894",""
"1982","Romania","Total","Total","22 424 246",""
"1983","Romania","Total","Total","22 527 235",""
"1984","Romania","Total","Total","22 593 720",""
"1985","Romania","Total","Total","22 687 374",""
"1986","Romania","Total","Total","22 778 624",""
"1987","Romania","Total","Total","22 895 058",""
"1988","Romania","Total","Total","23 003 802",""
"1989","Romania","Total","Total","23 111 521",""
"1990","Romania","Total","Total","23 211 395",""
"1991","Romania","Total","Total","23 192 274",""
"1992","Romania","Total","Total","22 810 035",""
"1993","Romania","Total","Total","22 778 533",""
"1994","Romania","Total","Total","22 748 027",""
"1995","Romania","Total","Total","22 712 394",""
"1996","Romania","Total","Total","22 656 145",""
"1997","Romania","Total","Total","22 581 862",""
"1998","Romania","Total","Total","22 526 093",""
"1999","Romania","Total","Total","22 488 595",""
"2000","Romania","Total","Total","22 455 485",""
"2001","Romania","Total","Total","22 430 457",""
"2002","Romania","Total","Total","21 833 483",""
"2003","Romania","Total","Total","21 772 774",""
"2004","Romania","Total","Total","21 711 252",""
"2005","Romania","Total","Total","21 658 528",""
"2006","Romania","Total","Total","21 610 213",""
"2007","Romania","Total","Total","21 565 119",""
"2008","Romania","Total","Total","21 528 627",""
"2009","Romania","Total","Total","21 498 616",""
"2010","Romania","Total","Total","21 462 186",""
"2011","Romania","Total","Total","21 413 815","p"
"2012","Romania","Total","Total","21 355 849","p"
"1975","Slovenia","Total","Total","1 778 454",""
"1976","Slovenia","Total","Total","1 808 707",""
"1977","Slovenia","Total","Total","1 831 790",""
"1978","Slovenia","Total","Total","1 852 963",""
"1979","Slovenia","Total","Total","1 872 133",""
"1980","Slovenia","Total","Total","1 893 064",""
"1981","Slovenia","Total","Total","1 909 566",""
"1982","Slovenia","Total","Total","1 903 495",""
"1983","Slovenia","Total","Total","1 917 173",""
"1984","Slovenia","Total","Total","1 927 469",""
"1985","Slovenia","Total","Total","1 936 839",""
"1986","Slovenia","Total","Total","1 946 442",""
"1987","Slovenia","Total","Total","1 985 486",""
"1988","Slovenia","Total","Total","1 994 066",""
"1989","Slovenia","Total","Total","1 996 325",""
"1990","Slovenia","Total","Total","1 996 377",""
"1991","Slovenia","Total","Total","1 999 945",""
"1992","Slovenia","Total","Total","1 998 912",""
"1993","Slovenia","Total","Total","1 994 084",""
"1994","Slovenia","Total","Total","1 989 408",""
"1995","Slovenia","Total","Total","1 989 477",""
"1996","Slovenia","Total","Total","1 990 266",""
"1997","Slovenia","Total","Total","1 986 989",""
"1998","Slovenia","Total","Total","1 984 923",""
"1999","Slovenia","Total","Total","1 978 334",""
"2000","Slovenia","Total","Total","1 987 755",""
"2001","Slovenia","Total","Total","1 990 094",""
"2002","Slovenia","Total","Total","1 994 026",""
"2003","Slovenia","Total","Total","1 995 033",""
"2004","Slovenia","Total","Total","1 996 433",""
"2005","Slovenia","Total","Total","1 997 590",""
"2006","Slovenia","Total","Total","2 003 358",""
"2007","Slovenia","Total","Total","2 010 377",""
"2008","Slovenia","Total","Total","2 010 269","b"
"2009","Slovenia","Total","Total","2 032 362",""
"2010","Slovenia","Total","Total","2 046 976",""
"2011","Slovenia","Total","Total","2 050 189",""
"2012","Slovenia","Total","Total","2 055 496",""
"1975","Slovakia","Total","Total","4 714 593",""
"1976","Slovakia","Total","Total","4 763 617",""
"1977","Slovakia","Total","Total","4 815 396",""
"1978","Slovakia","Total","Total","4 865 605",""
"1979","Slovakia","Total","Total","4 914 644",""
"1980","Slovakia","Total","Total","4 963 301",""
"1981","Slovakia","Total","Total","4 996 329",""
"1982","Slovakia","Total","Total","5 035 881",""
"1983","Slovakia","Total","Total","5 074 316",""
"1984","Slovakia","Total","Total","5 109 626",""
"1985","Slovakia","Total","Total","5 144 568",""
"1986","Slovakia","Total","Total","5 178 967",""
"1987","Slovakia","Total","Total","5 208 708",""
"1988","Slovakia","Total","Total","5 236 972",""
"1989","Slovakia","Total","Total","5 264 220",""
"1990","Slovakia","Total","Total","5 287 663",""
"1991","Slovakia","Total","Total","5 310 711",""
"1992","Slovakia","Total","Total","5 295 877",""
"1993","Slovakia","Total","Total","5 314 155",""
"1994","Slovakia","Total","Total","5 336 455",""
"1995","Slovakia","Total","Total","5 356 207",""
"1996","Slovakia","Total","Total","5 367 790",""
"1997","Slovakia","Total","Total","5 378 932",""
"1998","Slovakia","Total","Total","5 387 650",""
"1999","Slovakia","Total","Total","5 393 382",""
"2000","Slovakia","Total","Total","5 398 657",""
"2001","Slovakia","Total","Total","5 378 783",""
"2002","Slovakia","Total","Total","5 378 951",""
"2003","Slovakia","Total","Total","5 379 161",""
"2004","Slovakia","Total","Total","5 380 053",""
"2005","Slovakia","Total","Total","5 384 822",""
"2006","Slovakia","Total","Total","5 389 180",""
"2007","Slovakia","Total","Total","5 393 637",""
"2008","Slovakia","Total","Total","5 400 998",""
"2009","Slovakia","Total","Total","5 412 254",""
"2010","Slovakia","Total","Total","5 424 925",""
"2011","Slovakia","Total","Total","5 392 446","b"
"2012","Slovakia","Total","Total","5 404 322",""
"1975","Finland","Total","Total","4 702 387",""
"1976","Finland","Total","Total","4 720 492",""
"1977","Finland","Total","Total","4 730 836",""
"1978","Finland","Total","Total","4 746 967",""
"1979","Finland","Total","Total","4 758 088",""
"1980","Finland","Total","Total","4 771 292",""
"1981","Finland","Total","Total","4 787 778",""
"1982","Finland","Total","Total","4 812 150",""
"1983","Finland","Total","Total","4 841 715",""
"1984","Finland","Total","Total","4 869 858",""
"1985","Finland","Total","Total","4 893 748",""
"1986","Finland","Total","Total","4 910 664",""
"1987","Finland","Total","Total","4 925 644",""
"1988","Finland","Total","Total","4 938 602",""
"1989","Finland","Total","Total","4 954 359",""
"1990","Finland","Total","Total","4 974 383",""
"1991","Finland","Total","Total","4 998 478",""
"1992","Finland","Total","Total","5 029 002",""
"1993","Finland","Total","Total","5 054 982",""
"1994","Finland","Total","Total","5 077 912",""
"1995","Finland","Total","Total","5 098 754",""
"1996","Finland","Total","Total","5 116 826",""
"1997","Finland","Total","Total","5 132 320",""
"1998","Finland","Total","Total","5 147 349",""
"1999","Finland","Total","Total","5 159 646",""
"2000","Finland","Total","Total","5 171 302",""
"2001","Finland","Total","Total","5 181 115",""
"2002","Finland","Total","Total","5 194 901",""
"2003","Finland","Total","Total","5 206 295",""
"2004","Finland","Total","Total","5 219 732",""
"2005","Finland","Total","Total","5 236 611",""
"2006","Finland","Total","Total","5 255 580",""
"2007","Finland","Total","Total","5 276 955",""
"2008","Finland","Total","Total","5 300 484",""
"2009","Finland","Total","Total","5 326 314",""
"2010","Finland","Total","Total","5 351 427",""
"2011","Finland","Total","Total","5 375 276",""
"2012","Finland","Total","Total","5 401 267",""
"1975","Sweden","Total","Total","8 176 447",""
"1976","Sweden","Total","Total","8 208 427",""
"1977","Sweden","Total","Total","8 236 144",""
"1978","Sweden","Total","Total","8 266 936",""
"1979","Sweden","Total","Total","8 284 261",""
"1980","Sweden","Total","Total","8 303 094",""
"1981","Sweden","Total","Total","8 317 967",""
"1982","Sweden","Total","Total","8 323 038",""
"1983","Sweden","Total","Total","8 327 488",""
"1984","Sweden","Total","Total","8 330 577",""
"1985","Sweden","Total","Total","8 342 633",""
"1986","Sweden","Total","Total","8 358 139",""
"1987","Sweden","Total","Total","8 381 519",""
"1988","Sweden","Total","Total","8 414 089",""
"1989","Sweden","Total","Total","8 458 888",""
"1990","Sweden","Total","Total","8 527 039",""
"1991","Sweden","Total","Total","8 590 630",""
"1992","Sweden","Total","Total","8 644 120",""
"1993","Sweden","Total","Total","8 692 013",""
"1994","Sweden","Total","Total","8 745 109",""
"1995","Sweden","Total","Total","8 816 381",""
"1996","Sweden","Total","Total","8 837 496",""
"1997","Sweden","Total","Total","8 844 499",""
"1998","Sweden","Total","Total","8 847 625",""
"1999","Sweden","Total","Total","8 854 322",""
"2000","Sweden","Total","Total","8 861 426",""
"2001","Sweden","Total","Total","8 882 792",""
"2002","Sweden","Total","Total","8 909 128",""
"2003","Sweden","Total","Total","8 940 788",""
"2004","Sweden","Total","Total","8 975 670",""
"2005","Sweden","Total","Total","9 011 392",""
"2006","Sweden","Total","Total","9 047 752",""
"2007","Sweden","Total","Total","9 113 257",""
"2008","Sweden","Total","Total","9 182 927",""
"2009","Sweden","Total","Total","9 256 347",""
"2010","Sweden","Total","Total","9 340 682",""
"2011","Sweden","Total","Total","9 415 570",""
"2012","Sweden","Total","Total","9 482 855",""
"1975","United Kingdom","Total","Total","56 230 680",""
"1976","United Kingdom","Total","Total","56 220 920",""
"1977","United Kingdom","Total","Total","56 203 016",""
"1978","United Kingdom","Total","Total","56 183 968",""
"1979","United Kingdom","Total","Total","56 209 039",""
"1980","United Kingdom","Total","Total","56 284 863",""
"1981","United Kingdom","Total","Total","56 343 569",""
"1982","United Kingdom","Total","Total","56 324 088",""
"1983","United Kingdom","Total","Total","56 303 194",""
"1984","United Kingdom","Total","Total","56 362 502",""
"1985","United Kingdom","Total","Total","56 481 641",""
"1986","United Kingdom","Total","Total","56 618 895",""
"1987","United Kingdom","Total","Total","56 743 897",""
"1988","United Kingdom","Total","Total","56 860 203",""
"1989","United Kingdom","Total","Total","56 996 450",""
"1990","United Kingdom","Total","Total","57 156 972",""
"1991","United Kingdom","Total","Total","57 338 199",""
"1992","United Kingdom","Total","Total","57 511 594",""
"1993","United Kingdom","Total","Total","57 649 210",""
"1994","United Kingdom","Total","Total","57 788 017",""
"1995","United Kingdom","Total","Total","57 943 472",""
"1996","United Kingdom","Total","Total","58 094 587",""
"1997","United Kingdom","Total","Total","58 239 312",""
"1998","United Kingdom","Total","Total","58 394 596",""
"1999","United Kingdom","Total","Total","58 579 685",""
"2000","United Kingdom","Total","Total","58 785 246",""
"2001","United Kingdom","Total","Total","58 999 781",""
"2002","United Kingdom","Total","Total","59 216 138",""
"2003","United Kingdom","Total","Total","59 435 480",""
"2004","United Kingdom","Total","Total","59 697 037",""
"2005","United Kingdom","Total","Total","60 038 695",""
"2006","United Kingdom","Total","Total","60 409 918",""
"2007","United Kingdom","Total","Total","60 781 346",""
"2008","United Kingdom","Total","Total","61 191 951",""
"2009","United Kingdom","Total","Total","61 595 091",""
"2010","United Kingdom","Total","Total","62 026 962",""
"2011","United Kingdom","Total","Total","62 515 392","p"
"2012","United Kingdom","Total","Total","62 989 551","p"
"1975","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","451 572 251",""
"1976","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","453 771 888",""
"1977","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","455 728 848",""
"1978","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","457 705 396",""
"1979","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","459 720 398",""
"1980","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","461 380 260",""
"1981","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","463 458 836",""
"1982","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","464 925 603",""
"1983","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","466 098 941",""
"1984","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","467 049 883",""
"1985","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","468 056 453",""
"1986","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","469 165 195",""
"1987","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","470 496 548",""
"1988","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","471 747 730",""
"1989","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","473 404 824",""
"1990","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","474 903 578",""
"1991","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","476 502 163",""
"1992","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","477 805 757",""
"1993","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","479 467 626",""
"1994","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","480 686 975",""
"1995","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","481 655 535",""
"1996","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","482 524 477",""
"1997","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","483 323 896",""
"1998","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","485 641 369","b"
"1999","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","486 370 813",""
"2000","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","487 167 228",""
"2001","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","488 616 688",""
"2002","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","489 479 285",""
"2003","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","491 520 700",""
"2004","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","493 700 250",""
"2005","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","496 069 478",""
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","498 185 412",""
"2007","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","500 315 899",""
"2008","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","502 774 118",""
"2009","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","504 840 784","p"
"2010","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","506 296 239","bp"
"2011","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","507 644 117","bp"
"2012","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","509 005 521","bp"
"1975","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","421 720 734",""
"1976","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","423 594 756",""
"1977","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","425 285 516",""
"1978","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","427 028 172",""
