"TIME","GEO","UNIT","INDIC_NA","Value","Flag and Footnotes"
"2001","France","Euro per inhabitant","Gross domestic product at market prices","24 500",""
"2002","France","Euro per inhabitant","Gross domestic product at market prices","25 000",""
"2003","France","Euro per inhabitant","Gross domestic product at market prices","25 600",""
"2004","France","Euro per inhabitant","Gross domestic product at market prices","26 500",""
"2005","France","Euro per inhabitant","Gross domestic product at market prices","27 300",""
"2006","France","Euro per inhabitant","Gross domestic product at market prices","28 400",""
"2007","France","Euro per inhabitant","Gross domestic product at market prices","29 600",""
"2008","France","Euro per inhabitant","Gross domestic product at market prices","30 100",""
"2009","France","Euro per inhabitant","Gross domestic product at market prices","29 200",""
"2010","France","Euro per inhabitant","Gross domestic product at market prices","29 900",""
"2011","France","Euro per inhabitant","Gross domestic product at market prices","30 600",""
"2012","France","Euro per inhabitant","Gross domestic product at market prices",":",""
"1975","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Italy","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Italy","Euro per inhabitant","Gross domestic product at market prices","15 800",""
"1991","Italy","Euro per inhabitant","Gross domestic product at market prices","17 100",""
"1992","Italy","Euro per inhabitant","Gross domestic product at market prices","17 300",""
"1993","Italy","Euro per inhabitant","Gross domestic product at market prices","15 400",""
"1994","Italy","Euro per inhabitant","Gross domestic product at market prices","15 700",""
"1995","Italy","Euro per inhabitant","Gross domestic product at market prices","15 200",""
"1996","Italy","Euro per inhabitant","Gross domestic product at market prices","17 500",""
"1997","Italy","Euro per inhabitant","Gross domestic product at market prices","18 600",""
"1998","Italy","Euro per inhabitant","Gross domestic product at market prices","19 200",""
"1999","Italy","Euro per inhabitant","Gross domestic product at market prices","19 900",""
"2000","Italy","Euro per inhabitant","Gross domestic product at market prices","21 000",""
"2001","Italy","Euro per inhabitant","Gross domestic product at market prices","22 000",""
"2002","Italy","Euro per inhabitant","Gross domestic product at market prices","22 800",""
"2003","Italy","Euro per inhabitant","Gross domestic product at market prices","23 300",""
"2004","Italy","Euro per inhabitant","Gross domestic product at market prices","24 000",""
"2005","Italy","Euro per inhabitant","Gross domestic product at market prices","24 500",""
"2006","Italy","Euro per inhabitant","Gross domestic product at market prices","25 300",""
"2007","Italy","Euro per inhabitant","Gross domestic product at market prices","26 200",""
"2008","Italy","Euro per inhabitant","Gross domestic product at market prices","26 300",""
"2009","Italy","Euro per inhabitant","Gross domestic product at market prices","25 200",""
"2010","Italy","Euro per inhabitant","Gross domestic product at market prices","25 700",""
"2011","Italy","Euro per inhabitant","Gross domestic product at market prices","26 000",""
"2012","Italy","Euro per inhabitant","Gross domestic product at market prices","25 700",""
"1975","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1994","Cyprus","Euro per inhabitant","Gross domestic product at market prices",":",""
"1995","Cyprus","Euro per inhabitant","Gross domestic product at market prices","10 800",""
"1996","Cyprus","Euro per inhabitant","Gross domestic product at market prices","11 000",""
"1997","Cyprus","Euro per inhabitant","Gross domestic product at market prices","11 600",""
"1998","Cyprus","Euro per inhabitant","Gross domestic product at market prices","12 400",""
"1999","Cyprus","Euro per inhabitant","Gross domestic product at market prices","13 300",""
"2000","Cyprus","Euro per inhabitant","Gross domestic product at market prices","14 300",""
"2001","Cyprus","Euro per inhabitant","Gross domestic product at market prices","15 300",""
"2002","Cyprus","Euro per inhabitant","Gross domestic product at market prices","15 600",""
"2003","Cyprus","Euro per inhabitant","Gross domestic product at market prices","16 200",""
"2004","Cyprus","Euro per inhabitant","Gross domestic product at market prices","17 300",""
"2005","Cyprus","Euro per inhabitant","Gross domestic product at market prices","18 400",""
"2006","Cyprus","Euro per inhabitant","Gross domestic product at market prices","19 500",""
"2007","Cyprus","Euro per inhabitant","Gross domestic product at market prices","20 700",""
"2008","Cyprus","Euro per inhabitant","Gross domestic product at market prices","21 800",""
"2009","Cyprus","Euro per inhabitant","Gross domestic product at market prices","20 900",""
"2010","Cyprus","Euro per inhabitant","Gross domestic product at market prices","21 000",""
"2011","Cyprus","Euro per inhabitant","Gross domestic product at market prices","21 100",""
"2012","Cyprus","Euro per inhabitant","Gross domestic product at market prices","20 500","p"
"1975","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Latvia","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Latvia","Euro per inhabitant","Gross domestic product at market prices","500",""
"1993","Latvia","Euro per inhabitant","Gross domestic product at market prices","800",""
"1994","Latvia","Euro per inhabitant","Gross domestic product at market prices","1 400",""
"1995","Latvia","Euro per inhabitant","Gross domestic product at market prices","1 500",""
"1996","Latvia","Euro per inhabitant","Gross domestic product at market prices","1 800",""
"1997","Latvia","Euro per inhabitant","Gross domestic product at market prices","2 300",""
"1998","Latvia","Euro per inhabitant","Gross domestic product at market prices","2 600",""
"1999","Latvia","Euro per inhabitant","Gross domestic product at market prices","2 900",""
"2000","Latvia","Euro per inhabitant","Gross domestic product at market prices","3 600","b"
"2001","Latvia","Euro per inhabitant","Gross domestic product at market prices","3 900","b"
"2002","Latvia","Euro per inhabitant","Gross domestic product at market prices","4 200","b"
"2003","Latvia","Euro per inhabitant","Gross domestic product at market prices","4 300","b"
"2004","Latvia","Euro per inhabitant","Gross domestic product at market prices","4 900","b"
"2005","Latvia","Euro per inhabitant","Gross domestic product at market prices","5 800","b"
"2006","Latvia","Euro per inhabitant","Gross domestic product at market prices","7 200","b"
"2007","Latvia","Euro per inhabitant","Gross domestic product at market prices","9 600","b"
"2008","Latvia","Euro per inhabitant","Gross domestic product at market prices","10 500","b"
"2009","Latvia","Euro per inhabitant","Gross domestic product at market prices","8 600","b"
"2010","Latvia","Euro per inhabitant","Gross domestic product at market prices","8 600","b"
"2011","Latvia","Euro per inhabitant","Gross domestic product at market prices","9 800","b"
"2012","Latvia","Euro per inhabitant","Gross domestic product at market prices","10 900",""
"1975","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Lithuania","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Lithuania","Euro per inhabitant","Gross domestic product at market prices","400",""
"1993","Lithuania","Euro per inhabitant","Gross domestic product at market prices","600",""
"1994","Lithuania","Euro per inhabitant","Gross domestic product at market prices","1 000",""
"1995","Lithuania","Euro per inhabitant","Gross domestic product at market prices","1 400",""
"1996","Lithuania","Euro per inhabitant","Gross domestic product at market prices","1 800",""
"1997","Lithuania","Euro per inhabitant","Gross domestic product at market prices","2 500",""
"1998","Lithuania","Euro per inhabitant","Gross domestic product at market prices","2 800",""
"1999","Lithuania","Euro per inhabitant","Gross domestic product at market prices","2 900",""
"2000","Lithuania","Euro per inhabitant","Gross domestic product at market prices","3 600",""
"2001","Lithuania","Euro per inhabitant","Gross domestic product at market prices","3 900",""
"2002","Lithuania","Euro per inhabitant","Gross domestic product at market prices","4 400",""
"2003","Lithuania","Euro per inhabitant","Gross domestic product at market prices","4 900",""
"2004","Lithuania","Euro per inhabitant","Gross domestic product at market prices","5 400",""
"2005","Lithuania","Euro per inhabitant","Gross domestic product at market prices","6 300",""
"2006","Lithuania","Euro per inhabitant","Gross domestic product at market prices","7 400",""
"2007","Lithuania","Euro per inhabitant","Gross domestic product at market prices","8 900",""
"2008","Lithuania","Euro per inhabitant","Gross domestic product at market prices","10 200",""
"2009","Lithuania","Euro per inhabitant","Gross domestic product at market prices","8 400",""
"2010","Lithuania","Euro per inhabitant","Gross domestic product at market prices","8 900",""
"2011","Lithuania","Euro per inhabitant","Gross domestic product at market prices","10 200","b"
"2012","Lithuania","Euro per inhabitant","Gross domestic product at market prices","11 000",""
"1975","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Luxembourg","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","14 300",""
"1986","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","16 100",""
"1987","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","16 900",""
"1988","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","18 500",""
"1989","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","20 900",""
"1990","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","22 900",""
"1991","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","25 100",""
"1992","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","26 500",""
"1993","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","29 700",""
"1994","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","32 100",""
"1995","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","38 600",""
"1996","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","39 100",""
"1997","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","38 900",""
"1998","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","40 700",""
"1999","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","46 100",""
"2000","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","50 300",""
"2001","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","51 100",""
"2002","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","53 700",""
"2003","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","57 100",""
"2004","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","59 900",""
"2005","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","65 000",""
"2006","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","71 700",""
"2007","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","78 000",""
"2008","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","76 400",""
"2009","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","72 300",""
"2010","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","78 600",""
"2011","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","82 100",""
"2012","Luxembourg","Euro per inhabitant","Gross domestic product at market prices","83 600",""
"1975","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Hungary","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Hungary","Euro per inhabitant","Gross domestic product at market prices","1 700",""
"1992","Hungary","Euro per inhabitant","Gross domestic product at market prices","1 600",""
"1993","Hungary","Euro per inhabitant","Gross domestic product at market prices","3 200",""
"1994","Hungary","Euro per inhabitant","Gross domestic product at market prices","3 400",""
"1995","Hungary","Euro per inhabitant","Gross domestic product at market prices","3 400",""
"1996","Hungary","Euro per inhabitant","Gross domestic product at market prices","3 500",""
"1997","Hungary","Euro per inhabitant","Gross domestic product at market prices","4 000",""
"1998","Hungary","Euro per inhabitant","Gross domestic product at market prices","4 200",""
"1999","Hungary","Euro per inhabitant","Gross domestic product at market prices","4 400",""
"2000","Hungary","Euro per inhabitant","Gross domestic product at market prices","4 900",""
"2001","Hungary","Euro per inhabitant","Gross domestic product at market prices","5 800",""
"2002","Hungary","Euro per inhabitant","Gross domestic product at market prices","6 900",""
"2003","Hungary","Euro per inhabitant","Gross domestic product at market prices","7 300",""
"2004","Hungary","Euro per inhabitant","Gross domestic product at market prices","8 100",""
"2005","Hungary","Euro per inhabitant","Gross domestic product at market prices","8 800",""
"2006","Hungary","Euro per inhabitant","Gross domestic product at market prices","8 900",""
"2007","Hungary","Euro per inhabitant","Gross domestic product at market prices","9 900",""
"2008","Hungary","Euro per inhabitant","Gross domestic product at market prices","10 500",""
"2009","Hungary","Euro per inhabitant","Gross domestic product at market prices","9 100",""
"2010","Hungary","Euro per inhabitant","Gross domestic product at market prices","9 700",""
"2011","Hungary","Euro per inhabitant","Gross domestic product at market prices","10 000",""
"2012","Hungary","Euro per inhabitant","Gross domestic product at market prices","9 800",""
"1975","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1994","Malta","Euro per inhabitant","Gross domestic product at market prices",":",""
"1995","Malta","Euro per inhabitant","Gross domestic product at market prices","7 500",""
"1996","Malta","Euro per inhabitant","Gross domestic product at market prices","7 900",""
"1997","Malta","Euro per inhabitant","Gross domestic product at market prices","8 700",""
"1998","Malta","Euro per inhabitant","Gross domestic product at market prices","9 100",""
"1999","Malta","Euro per inhabitant","Gross domestic product at market prices","9 800",""
"2000","Malta","Euro per inhabitant","Gross domestic product at market prices","11 200",""
"2001","Malta","Euro per inhabitant","Gross domestic product at market prices","11 400",""
"2002","Malta","Euro per inhabitant","Gross domestic product at market prices","11 800",""
"2003","Malta","Euro per inhabitant","Gross domestic product at market prices","11 600",""
"2004","Malta","Euro per inhabitant","Gross domestic product at market prices","11 600",""
"2005","Malta","Euro per inhabitant","Gross domestic product at market prices","12 200",""
"2006","Malta","Euro per inhabitant","Gross domestic product at market prices","12 800",""
"2007","Malta","Euro per inhabitant","Gross domestic product at market prices","13 600",""
"2008","Malta","Euro per inhabitant","Gross domestic product at market prices","14 500",""
"2009","Malta","Euro per inhabitant","Gross domestic product at market prices","14 400",""
"2010","Malta","Euro per inhabitant","Gross domestic product at market prices","15 200",""
"2011","Malta","Euro per inhabitant","Gross domestic product at market prices","15 700",""
"2012","Malta","Euro per inhabitant","Gross domestic product at market prices","16 100",""
"1975","Netherlands","Euro per inhabitant","Gross domestic product at market prices","5 500",""
"1976","Netherlands","Euro per inhabitant","Gross domestic product at market prices","6 600",""
"1977","Netherlands","Euro per inhabitant","Gross domestic product at market prices","7 500",""
"1978","Netherlands","Euro per inhabitant","Gross domestic product at market prices","8 200",""
"1979","Netherlands","Euro per inhabitant","Gross domestic product at market prices","8 700",""
"1980","Netherlands","Euro per inhabitant","Gross domestic product at market prices","9 200",""
"1981","Netherlands","Euro per inhabitant","Gross domestic product at market prices","9 600",""
"1982","Netherlands","Euro per inhabitant","Gross domestic product at market prices","10 500",""
"1983","Netherlands","Euro per inhabitant","Gross domestic product at market prices","11 100",""
"1984","Netherlands","Euro per inhabitant","Gross domestic product at market prices","11 800",""
"1985","Netherlands","Euro per inhabitant","Gross domestic product at market prices","12 200",""
"1986","Netherlands","Euro per inhabitant","Gross domestic product at market prices","13 000",""
"1987","Netherlands","Euro per inhabitant","Gross domestic product at market prices","13 400",""
"1988","Netherlands","Euro per inhabitant","Gross domestic product at market prices","13 900",""
"1989","Netherlands","Euro per inhabitant","Gross domestic product at market prices","14 600",""
"1990","Netherlands","Euro per inhabitant","Gross domestic product at market prices","15 500",""
"1991","Netherlands","Euro per inhabitant","Gross domestic product at market prices","16 300",""
"1992","Netherlands","Euro per inhabitant","Gross domestic product at market prices","17 100",""
"1993","Netherlands","Euro per inhabitant","Gross domestic product at market prices","18 300",""
"1994","Netherlands","Euro per inhabitant","Gross domestic product at market prices","19 300",""
"1995","Netherlands","Euro per inhabitant","Gross domestic product at market prices","20 700",""
"1996","Netherlands","Euro per inhabitant","Gross domestic product at market prices","21 200",""
"1997","Netherlands","Euro per inhabitant","Gross domestic product at market prices","21 900",""
"1998","Netherlands","Euro per inhabitant","Gross domestic product at market prices","22 900",""
"1999","Netherlands","Euro per inhabitant","Gross domestic product at market prices","24 400",""
"2000","Netherlands","Euro per inhabitant","Gross domestic product at market prices","26 300",""
"2001","Netherlands","Euro per inhabitant","Gross domestic product at market prices","27 900",""
"2002","Netherlands","Euro per inhabitant","Gross domestic product at market prices","28 800",""
"2003","Netherlands","Euro per inhabitant","Gross domestic product at market prices","29 400",""
"2004","Netherlands","Euro per inhabitant","Gross domestic product at market prices","30 200",""
"2005","Netherlands","Euro per inhabitant","Gross domestic product at market prices","31 500",""
"2006","Netherlands","Euro per inhabitant","Gross domestic product at market prices","33 100",""
"2007","Netherlands","Euro per inhabitant","Gross domestic product at market prices","34 900",""
"2008","Netherlands","Euro per inhabitant","Gross domestic product at market prices","36 200",""
"2009","Netherlands","Euro per inhabitant","Gross domestic product at market prices","34 700",""
"2010","Netherlands","Euro per inhabitant","Gross domestic product at market prices","35 400",""
"2011","Netherlands","Euro per inhabitant","Gross domestic product at market prices","36 100",""
"2012","Netherlands","Euro per inhabitant","Gross domestic product at market prices","35 900",""
"1975","Austria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Austria","Euro per inhabitant","Gross domestic product at market prices","5 000",""
"1977","Austria","Euro per inhabitant","Gross domestic product at market prices","5 900",""
"1978","Austria","Euro per inhabitant","Gross domestic product at market prices","6 400",""
"1979","Austria","Euro per inhabitant","Gross domestic product at market prices","7 100",""
"1980","Austria","Euro per inhabitant","Gross domestic product at market prices","7 700",""
"1981","Austria","Euro per inhabitant","Gross domestic product at market prices","8 400",""
"1982","Austria","Euro per inhabitant","Gross domestic product at market prices","9 500",""
"1983","Austria","Euro per inhabitant","Gross domestic product at market prices","10 600",""
"1984","Austria","Euro per inhabitant","Gross domestic product at market prices","11 300",""
"1985","Austria","Euro per inhabitant","Gross domestic product at market prices","12 000",""
"1986","Austria","Euro per inhabitant","Gross domestic product at market prices","13 200",""
"1987","Austria","Euro per inhabitant","Gross domestic product at market prices","14 100",""
"1988","Austria","Euro per inhabitant","Gross domestic product at market prices","14 700",""
"1989","Austria","Euro per inhabitant","Gross domestic product at market prices","15 700",""
"1990","Austria","Euro per inhabitant","Gross domestic product at market prices","16 900",""
"1991","Austria","Euro per inhabitant","Gross domestic product at market prices","17 900",""
"1992","Austria","Euro per inhabitant","Gross domestic product at market prices","19 000",""
"1993","Austria","Euro per inhabitant","Gross domestic product at market prices","20 300",""
"1994","Austria","Euro per inhabitant","Gross domestic product at market prices","21 400",""
"1995","Austria","Euro per inhabitant","Gross domestic product at market prices","23 000",""
"1996","Austria","Euro per inhabitant","Gross domestic product at market prices","23 200",""
"1997","Austria","Euro per inhabitant","Gross domestic product at market prices","23 000",""
"1998","Austria","Euro per inhabitant","Gross domestic product at market prices","23 900",""
"1999","Austria","Euro per inhabitant","Gross domestic product at market prices","24 900",""
"2000","Austria","Euro per inhabitant","Gross domestic product at market prices","26 000",""
"2001","Austria","Euro per inhabitant","Gross domestic product at market prices","26 600",""
"2002","Austria","Euro per inhabitant","Gross domestic product at market prices","27 300",""
"2003","Austria","Euro per inhabitant","Gross domestic product at market prices","27 700",""
"2004","Austria","Euro per inhabitant","Gross domestic product at market prices","28 700",""
"2005","Austria","Euro per inhabitant","Gross domestic product at market prices","29 800",""
"2006","Austria","Euro per inhabitant","Gross domestic product at market prices","31 300",""
"2007","Austria","Euro per inhabitant","Gross domestic product at market prices","33 000",""
"2008","Austria","Euro per inhabitant","Gross domestic product at market prices","33 900",""
"2009","Austria","Euro per inhabitant","Gross domestic product at market prices","33 000",""
"2010","Austria","Euro per inhabitant","Gross domestic product at market prices","34 100",""
"2011","Austria","Euro per inhabitant","Gross domestic product at market prices","35 700",""
"2012","Austria","Euro per inhabitant","Gross domestic product at market prices","36 600",""
"1975","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1994","Poland","Euro per inhabitant","Gross domestic product at market prices",":",""
"1995","Poland","Euro per inhabitant","Gross domestic product at market prices","2 800",""
"1996","Poland","Euro per inhabitant","Gross domestic product at market prices","3 200",""
"1997","Poland","Euro per inhabitant","Gross domestic product at market prices","3 600",""
"1998","Poland","Euro per inhabitant","Gross domestic product at market prices","4 000",""
"1999","Poland","Euro per inhabitant","Gross domestic product at market prices","4 100",""
"2000","Poland","Euro per inhabitant","Gross domestic product at market prices","4 900",""
"2001","Poland","Euro per inhabitant","Gross domestic product at market prices","5 600",""
"2002","Poland","Euro per inhabitant","Gross domestic product at market prices","5 500",""
"2003","Poland","Euro per inhabitant","Gross domestic product at market prices","5 000",""
"2004","Poland","Euro per inhabitant","Gross domestic product at market prices","5 300",""
